Youtuber,subscribers,video views,category,uploads,lowest_monthly_earnings,highest_monthly_earnings,created_year
AMARINTV : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,17400000,13043561912,Entertainment,118448,59000,944000,2014
ıııııııııııııııı - Al-Remas,17400000,11144195464,Music,2133,28300,452000,2013
Koray Zeynep,17400000,16560557488,People & Blogs,2078,106600,1700000,2016
Apple,17300000,1026425106,Science & Technology,180,11600,185900,2005
Stubborn Facts,17300000,902225615,Film & Animation,287,209,3400,2016
Taarak Mehta Ka Ooltah Chashmah,17300000,11371738047,Entertainment,4778,83000,1300000,2014
HowToBasic,17300000,3684816159,Howto & Style,582,3900,62100,2011
PopularMMOs,17200000,14573155899,Gaming,4685,3800,61200,2012
Marques Brownlee,17200000,3606912471,Science & Technology,1567,13100,209300,2008
Anitta,17200000,7337212581,Music,138,18200,290700,2011
Jason Vlogs,17200000,8903647480,Education,83,0.01,0.1,2014
El Reino a Jugar,17200000,11445492404,Education,1007,20900,334800,2015
Willyrex,17200000,5024088947,Gaming,7550,3900,61600,2009
TheBrianMaps,17100000,4448334716,Comedy,498,9300,148700,2012
TRANS TV Official,17100000,9710962528,Entertainment,148225,11500,183200,2014
Liza Koshy,17100000,2173106162,Comedy,142,440,7000,2013
Queen Official,17000000,10847948832,Music,1015,23400,375100,2008
Prajapati News,17000000,1001465469,Comedy,1407,1900,30500,2013
Gaby and Alex,17000000,8229883114,Entertainment,1,0,0,2008
LuisFonsiVEVO,17000000,14543594822,Music,97,12500,199300,2009
Pop Chartbusters,16900000,8684010451,Music,2235,18200,291600,2011
Guava Juice,16900000,9111000228,Gaming,1910,2700,43600,2006
EeOneGuy,16900000,3827906874,Entertainment,366,409,6500,2013
VICE,16900000,4609753237,Entertainment,3900,9100,145400,2005
Aayu and Pihu Show,16900000,9270331567,Comedy,441,22400,359100,2017
Danny Fitt,16900000,9544277833,People & Blogs,2337,68800,1100000,2016
Bispo Bruno Leonardo,16900000,3523578665,Nonprofits & Activism,4891,37400,598200,2016
DeToxoMoroxo,16800000,2315962318,Entertainment,1,0,0,2016
Doggy Doggy Cartoons,16800000,6518418501,Entertainment,0,0,0,2018
deepesh zo,16800000,7206462713,People & Blogs,41,0,0,2021
Like Nastya IDN,16800000,7195314800,Entertainment,502,10700,171300,2019
Gato Galactico | GALï¿½ï¿,16800000,3693798804,Film & Animation,1491,11000,176500,2013
Salman Noman,16700000,10393037902,Entertainment,3,0,0.03,2022
CoryxKenshin,16700000,7102965621,Gaming,1693,26300,420500,2009
With Kids[ï¿½ï¿½ï¿½ï¿½ï,16700000,8826138204,Entertainment,920,11400,182800,2012
Travis Scott,16700000,7979736581,Music,13,9,150,2010
Tu COSMOPOLIS,16700000,5089284369,People & Blogs,8741,4000,64600,2014
Ivana Alawi,16600000,1318442641,nan,180,3800,60300,2018
Werever2morro,16600000,2798273962,Entertainment,0,0,0,2010
IDEAS EN 5 MINUTOS,16600000,3696973456,Howto & Style,216,16,262,2017
NMF News,16600000,7435180827,News & Politics,112261,14800,236800,2013
SriBalajiMovies,16600000,9439857193,Entertainment,20102,38500,616200,2011
Lahari Music - TSeries,16600000,11946217860,Music,8976,22300,356000,2011
Younes Zarou,16600000,15278668857,Entertainment,2200,154300,2500000,2021
Jordan Matter,16600000,5819508534,Entertainment,413,49800,796100,2006
ıııııııı ıııııııııııııııııııııı,16500000,2440934034,Entertainment,421,5500,87800,2014
FailArmy,16500000,3037260680,Comedy,438,28200,451900,2011
BBC News Hindi,16500000,7043235131,News & Politics,21243,32800,524800,2009
FunFun Toy Doll TV,16500000,7406207930,Entertainment,735,6100,97500,2016
Sandra Cires Art,16400000,3955426159,Howto & Style,1091,4500,72100,2011
Kaykai Salaider,16400000,4434679706,Comedy,428,2300,37400,2011
UFC - Ultimate Fighting Championship,16400000,7135820721,Sports,14662,33300,532800,2006
Ch7HD,16400000,9463244435,Entertainment,56203,21900,351000,2010
RCTI - LAYAR DRAMA INDONESIA,16400000,13478392540,Entertainment,1,0,0,2020
Alfredo Larin,16400000,14431830557,Entertainment,1,0,0,2015
GMMTV OFFICIALï¿½ï¿½,16400000,12844432341,Entertainment,23952,45300,725500,2010
Matt Stonie,16300000,3527627264,Entertainment,54,7,119,2010
Boyce Avenue,16300000,6578828147,Music,490,7200,115100,2007
Camila Cabello,16300000,6613422635,Music,80,10700,170800,2015
Little Mix,16300000,7520242626,Music,278,9700,154400,2011
SAM SMITH,16300000,10170264839,Music,230,21400,343100,2012
Pitbull,16300000,12475714382,Music,352,22000,352000,2006
Bollywood Classics,16300000,7141825267,Entertainment,1444,37900,605900,2011
Technoblade,16300000,1656452554,Gaming,989,4500,71800,2013
W2S,16300000,4768370464,Gaming,652,770,12300,2012
Jennifer Lopez,16200000,10227242833,Music,258,15900,253800,2005
Kids Play,16200000,8091706232,Entertainment,593,6500,103600,2018
T3ddy,16200000,2990185467,Comedy,1930,8300,132100,2012
JJ Olatunji,16200000,4076692623,Gaming,1294,7000,111200,2011
POPS Kids,16200000,9763592867,Music,3943,64200,1000000,2014
Thairath Online,16200000,14563841315,News & Politics,244899,56200,899000,2010
LEGO,16200000,20522339099,Entertainment,31889,29300,468800,2005
XO TEAM,16200000,14784781923,People & Blogs,189,9,152,2020
AdMe,16200000,4488680903,Entertainment,10,0,0.02,2006
ExtraPolinesios,16200000,4813127504,People & Blogs,2,0.13,2,2015
Dyland PROS,16100000,1517638132,Entertainment,2805,2400,38500,2015
Live,16100000,0,nan,0,0,0,2015
Vlad and Niki ARA,16100000,7399296005,nan,510,8000,128000,2019
Canal IN,16100000,2687443643,People & Blogs,723,3500,55200,2017
TWICE,16100000,5055576881,Music,1123,24700,394900,2016
Daily Dose Of Internet,16100000,6872702790,Entertainment,671,100000,1600000,2015
FitDance,16100000,7126210721,Music,41,0.2,3,2006
Panda Shorts,16100000,7155736006,nan,667,119600,1900000,2020
Disney Junior,16100000,15812009296,Entertainment,4045,66800,1100000,2008
La Rosa de Guadalupe,16100000,9642146451,Entertainment,0,0,0,2008
sagar kalra (Shorts),16000000,6543629679,People & Blogs,453,18500,296200,2017
wifistudy,16000000,3018032423,Education,52144,3600,57100,2014
Antrax,16000000,3029872908,Gaming,687,1200,18800,2015
Enes Batur,16000000,9786595271,Gaming,0,0,0,2007
Totoy kids - Espaï¿½ï,16000000,5997599089,Film & Animation,344,28100,449600,2017
ıııııııııı,15900000,1845329502,People & Blogs,0,0,0,2017
DopeLyrics,15900000,9962188084,Music,2035,2500,39700,2016
jeffreestar,15900000,2609358468,Howto & Style,433,502,8000,2006
Lyna,15900000,6534326412,Gaming,4906,16000,256300,2014
MK MUSIC,15900000,9198986881,Music,5105,34100,545600,2010
Unspeakable,15900000,9052367553,Gaming,796,41200,659600,2016
Camilo,15900000,6802382479,Music,132,15000,239600,2010
Dear Sir,15800000,1349288771,Education,633,6000,96200,2016
Narendra Modi,15800000,3392918989,News & Politics,20679,46500,743900,2007
Arif muhammad,15800000,4122634467,People & Blogs,542,18000,287500,2017
Rotten Tomatoes Trailers,15800000,13116313599,Film & Animation,10441,6400,103000,2011
Volga Video,15700000,9787697838,Film & Animation,16874,12800,205300,2012
DM - Desi Melodies,15700000,5914071870,Music,79,35500,567400,2017
MY FAMILY,15700000,6153495609,nan,150,235,3800,2019
Team Films Bhojpuri,15700000,6626563508,Music,19703,7700,123000,2014
Zee Music Classic,15700000,5558051295,Music,1640,21600,345800,2014
Prime Video India,15700000,8696631898,Entertainment,7090,83800,1300000,2016
Caeli YT,15600000,1511794214,Entertainment,483,0,0,2010
Kuplinov ï¿½ï¿½ï¿,15600000,6862529416,Gaming,6623,24700,394600,2012
Linus Tech Tips,15600000,7172386509,Science & Technology,6542,22100,352900,2008
Juliana Baltar,15600000,3869457097,Entertainment,2019,14100,224900,2010
5-Minute Crafts FAMILY,15600000,6165757696,People & Blogs,4245,6800,109500,2018
Blippi Espaï¿½ï,15500000,8984089026,People & Blogs,598,22500,360000,2017
Super Senya,15500000,5070970714,Entertainment,0,0,0,2017
Katakit Baby TV,15500000,6386271870,Music,220,22700,363700,2010
Infobells Bangla,15500000,7776706184,Education,359,42000,671600,2016
ıııııııı ıı ıııııııı,15500000,8265129639,Shows,1021,33800,540100,2017
Henrique e Juliano,15500000,14619523361,Music,325,40900,654700,2009
Mr DegrEE,15500000,12880388253,Science & Technology,0,0,0,2016
Kashvi Adlakha,15500000,12714141740,Entertainment,1525,34800,556500,2017
Talking Tom & Friends,15500000,6396049701,Entertainment,417,6800,109500,2010
ıııııııı ıııııııııııııı ıııı 5 ıııııııııı,15500000,4499826716,Howto & Style,5183,8200,131700,2017
Harsh Beniwal,15400000,1781226000,Comedy,165,7000,111900,2015
FFUNTV,15400000,11513738907,Gaming,379,20000,320700,2018
Mobile Legends: Bang Bang,15400000,1543608082,Gaming,1647,13800,221500,2016
Roman Atwood Vlogs,15400000,5469103954,People & Blogs,1756,396,6300,2013
Mrwhosetheboss,15400000,3736069980,Science & Technology,1577,41900,670800,2011
Genierock,15400000,14564170905,Music,1725,20700,331200,2008
zayn,15400000,4909687948,Music,21,9200,147200,2016
Kerajinan 5-Menit,15400000,4750420071,People & Blogs,4186,4900,79000,2018
FC Barcelona,15300000,2656528205,Sports,10988,21200,339500,2006
Dave and Ava - Nursery Rhymes and Baby Songs,15300000,10714145606,Education,851,19300,308200,2014
LOKESH GAMER,15300000,1640078055,Gaming,1397,1500,23700,2017
ILYA BORZOV,15300000,9938811455,People & Blogs,2175,118900,1900000,2021
Mazhavil Manorama,15300000,16545966132,Entertainment,87864,90400,1400000,2011
Pokï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,15200000,857725714,People & Blogs,194,16300,261500,2017
The MriDul,15200000,4503880875,Comedy,106,24600,393300,2015
Niana Guerrero,15200000,1491452935,Entertainment,443,2500,39900,2013
SRK MUSIC,15200000,6391679636,Music,5056,14500,231200,2012
Sony LIV,15200000,7151683497,Entertainment,11099,52700,843600,2014
T-Series Hamaar Bhojpuri,15200000,7564652648,Entertainment,9862,26500,423900,2011
Oyuncak Avï¿,15200000,8333387785,Entertainment,654,1100,17700,2014
CNN,15200000,14198154095,News & Politics,160405,46800,748000,2005
NDTV India,15200000,6624168155,News & Politics,91704,12400,198600,2008
It's Mamix,15100000,1777072487,People & Blogs,210,4000,63900,2017
Kim Loaiza,15100000,1576633086,Music,18,6500,104200,2019
Daftar Populer,15100000,2143140898,Education,3810,4300,68900,2017
Musas,15100000,2400037562,Howto & Style,159,0.02,0.34,2006
Ranz Kyle,15100000,1760131384,People & Blogs,533,3100,49500,2008
PowerfulJRE,15100000,3060202847,People & Blogs,1037,10900,173600,2013
Mariale,15100000,2761547758,Howto & Style,2618,3000,47800,2010
Makiman131,15100000,4236036141,Gaming,2997,1500,23900,2013
Hongyu ASMR ï¿½ï¿½,15100000,4967784343,People & Blogs,1,0,0,2021
Mohamed Ramadan I ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,15100000,5324913850,People & Blogs,753,11500,184200,2014
EdisonPts,15100000,6668507856,Gaming,3733,23900,382400,2013
BIGBANG,15100000,7857371770,Music,776,10200,163200,2005
Rubï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,15100000,9477021288,Comedy,921,128100,2000000,2016
ABS-CBN News,15100000,10489367372,News & Politics,209520,45400,726600,2009
Chapitosiki,15100000,13897932103,Entertainment,2717,178400,2900000,2020
AdeleVEVO,15100000,12413869881,Music,52,21200,339000,2009
MoreAliA,15000000,4352427049,Gaming,2324,62700,1000000,2013
Chetan Monga Vlogs,15000000,9924103188,People & Blogs,899,28400,454300,2014
Little Angel - Mï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,15000000,8897705695,Entertainment,795,36400,581900,2018
League of Legends,15000000,7159750970,Gaming,1362,10800,172500,2009
TheRichest,15000000,2730879024,Education,0,0,0,2006
XpressTV,15000000,4008801873,Entertainment,724,8500,135500,2014
PlayStation,15000000,4741434420,Gaming,20292,10400,167200,2005
Kwebbelkop,15000000,6889304306,Gaming,5198,7400,118900,2008
Republic Bharat,15000000,7536093065,News & Politics,206,0.25,4,2018
THE BROWN SIBLINGS,15000000,8658553456,Entertainment,965,25600,409400,2016
Sony Music South,15000000,9978734160,Music,2726,60500,968700,2014
BigSchool,15000000,9996133066,Gaming,68,0,0,2020
Ray William Johnson,15000000,10239836582,Entertainment,1803,78200,1300000,2008
KOMPASTV,15000000,11827310821,News & Politics,269050,28300,452300,2013
ISSEI / ï¿½ï¿½ï¿½ï¿½,15000000,13562853889,Comedy,1788,70600,1100000,2014
Zï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,15000000,11506702632,Music,340,45700,731500,2012
A2 Motivation by Arvind Arora,15000000,8932038210,Entertainment,3168,32700,522900,2017
50 Cent,14900000,10069000444,Music,419,30000,479200,2007
MNCTV OFFICIAL,14900000,8074260978,Entertainment,66362,10900,174300,2012
ERB,14900000,4033400167,Entertainment,86,2800,44200,2006
melanie martinez,14900000,4395184343,Music,127,14100,225400,2007
iTownGamePlay *Terror&Diversiï¿½ï,14900000,4977284539,Entertainment,8420,3500,55400,2012
ıııııııııııı8 : Thai Ch8,14900000,5549770244,Entertainment,27944,12400,198200,2011
ZutiGang,14900000,15913320995,People & Blogs,1363,86700,1400000,2021
ıııııı,14900000,439098,People & Blogs,1,2,31,2008
TazerCraft,14900000,5956193599,Gaming,4175,9900,159100,2011
Bayashi TV,14900000,8615618825,Entertainment,93,0.62,10,2012
Fueled By Ramen,14800000,13356517783,Music,1210,15300,244800,2006
CrashCourse,14800000,1833519700,Education,1481,1800,28700,2006
MattyBRaps,14800000,3587576784,Music,195,5700,91900,2010
Lachlan,14800000,5269059435,Gaming,3834,5300,84300,2013
ıııııııı ıııııııı,14800000,7018015062,Howto & Style,2387,11800,188500,2015
Meghan Trainor,14800000,8649303688,People & Blogs,233,12900,206600,2008
Jorge & Mateus Oficial,14800000,9076642765,Music,318,22000,352500,2008
Major Lazer Official,14800000,9383431376,Music,0,0,0,2013
Beast Philanthropy,14800000,272678287,People & Blogs,34,9,152,2015
Filaretiki,14800000,15788208522,nan,2222,300800,4800000,2021
5-Minute Crafts Recycle,14800000,8866012877,People & Blogs,3867,13300,212700,2019
ıııııııııı ıııııııııııı,14700000,2230986039,Entertainment,1385,673,10800,2016
Maha Fun Tv,14700000,1321380490,Entertainment,85,1200,19100,2017
Canal Nostalgia,14700000,1506796393,Entertainment,554,57,906,2010
The Slow Mo Guys,14700000,2465473772,Entertainment,317,4700,75900,2010
StudyIQ IAS,14700000,4029253667,Education,43564,18600,297900,2015
Chad Wild Clay,14700000,6751985988,Comedy,698,9100,145400,2006
CollegeHumor,14700000,7255848125,Comedy,4340,0,0,2006
Netflix Jr.,14700000,8882319696,Education,1996,19900,317600,2012
Colors Rishtey,14700000,12362331529,Entertainment,23490,86900,1400000,2013
ABC News,14700000,12961669452,News & Politics,80830,46400,742800,2006
Camila Loures,14700000,4684983333,Music,3978,10200,163900,2014
Doc Tops,14600000,2613197447,Entertainment,490,4100,65600,2014
Auron,14600000,3337074920,People & Blogs,961,15100,242300,2013
Jesser,14600000,3603556207,Gaming,1244,23100,370400,2012
Planeta das Gï¿½ï¿½,14600000,4622581344,People & Blogs,951,2600,42200,2015
PrestonPlayz,14600000,5766647017,Gaming,4009,37900,606800,2012
Martin Garrix,14600000,6017932195,Music,365,8900,142100,2011
O Reino Infantil,14600000,11182302317,Music,1206,27500,439500,2014
Fifth Harmony,14600000,7952268926,Music,67,9400,150500,2013
Mis Pastelitos,14600000,2750902766,Howto & Style,603,12700,202700,2014
Noman Official,14600000,5525773746,Comedy,560,34800,556500,2019
LEGENDA FUNK,14500000,2440718089,Music,0,0,0,nan
Like Nastya Stories,14500000,6944967581,Entertainment,479,7500,119800,2019
les boys tv2,14500000,4577292740,Entertainment,453,112,1800,2017
Lotus Music,14500000,1739129375,nan,514,5800,92100,2021
IDEIAS INCRï¿½ï¿½,14500000,3551889957,Howto & Style,5430,709,11400,2017
Reaction Time,14500000,4260187928,Entertainment,1717,2500,39600,2015
BBC News,14500000,4598387043,News & Politics,18972,16600,265100,2006
Eli Kids - Cartoons & Songs,14500000,4821183481,nan,605,37300,597000,2018
Boram Tube ToysReview [ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,14500000,5014888374,People & Blogs,618,1200,19800,2016
Aadishakti Films,14500000,6290721701,Music,4790,12100,193800,2016
Telemundo,14500000,8582696157,Entertainment,19201,12100,193100,2007
GMM25Thailand,14500000,9383692066,Entertainment,68606,11400,182500,2011
TV9 Bharatvarsh,14500000,10303519926,People & Blogs,293516,104600,1700000,2018
Maroon5VEVO,14500000,20042571499,Music,147,24500,392700,2009
Saad Lamjarred | ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,14500000,4315486422,Music,176,9400,150300,2012
Hear This Music,14500000,9201428420,Music,39,12000,192800,2016
Lilly Singh,14500000,3517662420,Comedy,1064,1300,21300,2010
ııııııııııııııııııııı,14400000,600154268,Entertainment,364,342,5500,2017
Gyan Gamingï¿½,14400000,2224121890,Gaming,3086,3500,55600,2017
Drawblogs,14400000,1629801448,Entertainment,399,251,4000,2014
NOBRU,14400000,351763324,Gaming,2,0,0.01,2006
ıııııııııııı ıııııııııııı I ıııııı ıı ıııııııııı,14400000,2972474215,Entertainment,381,1200,18700,2017
Cyprien,14400000,3086254545,Comedy,222,2900,45700,2007
Rclbeauty101,14400000,3900312631,Comedy,463,2200,34500,2010
Coke Studio,14400000,4035738731,Music,450,889,14200,2008
Indore Physical Academy,14400000,4156427797,People & Blogs,1838,17600,281600,2014
Rosanna Pansino,14400000,4597228794,Howto & Style,1248,6700,106700,2010
Harry Styles,14400000,5689224452,People & Blogs,0,0,0,nan
Vlad and Niki PRT,14400000,6543282459,nan,516,10000,160400,2018
RS 1313 SHORTS,14400000,8011977288,Entertainment,5628,53200,850600,2020
Zig & Sharko,14400000,9023952946,Film & Animation,978,15700,250800,2015
SelenaGomezVEVO,14400000,11423792969,Music,186,22200,354600,2009
ZEE5,14400000,18515587421,Entertainment,101401,37400,599200,2018
Super Polina,14300000,4776507159,People & Blogs,576,103,1700,2014
Rebecca Zamolo,14300000,6388439235,Comedy,1,0,0,2011
Wish 107.5,14200000,6048517979,Music,1823,15700,250600,2014
Invento na Hora,14200000,4040297006,Film & Animation,1281,4800,76100,2014
SIS vs BRO,14200000,6973932553,Entertainment,60,0.03,0.42,2016
NikkieTutorials,14200000,1778318927,Howto & Style,876,9000,143700,2008
TommyInnit,14200000,2084791147,Gaming,342,13600,217200,2015
E-MasterSensei,14200000,3920559552,Gaming,1300,11100,178300,2016
infobells - Kannada,14200000,6554000320,Education,433,35400,566800,2014
Crazy Frog,14200000,7946322061,Music,0,0,0,2005
The Dodo,14200000,9964116817,Pets & Animals,8,2,29,2006
SEVENGERS,14200000,10238593147,Comedy,872,92000,1500000,2018
Zee Bangla,14200000,11428794827,Entertainment,132398,15000,239700,2008
DangMattSmith,14200000,3317805543,Entertainment,1724,3200,51600,2011
Neha Kakkar,14100000,2131548711,Music,149,6400,102400,2012
#Refugio Mental,14100000,3594936775,Entertainment,846,1700,27800,2013
ıııııııııııııııııııı ıııııııııııııııııııı,14100000,3920221322,Entertainment,65,5,81,2017
Trap City,14100000,5129529846,Music,3,0.04,0.59,2015
Supercar Blondie,14100000,5405563355,Autos & Vehicles,855,88300,1400000,2007
Yudist Ardhana,14100000,6036496916,Entertainment,2854,44000,704200,2016
Lana Del Rey,14100000,6884215292,Music,43,33900,542300,2011
MalumaVEVO,14100000,19013942981,Music,182,24700,395300,2011
F2Freestylers - Ultimate Soccer Skills Channel,14100000,3280481927,Sports,777,2600,40900,2011
Bie The Ska,14100000,4627069704,Entertainment,1540,3100,50000,2006
AM3NlC,14000000,4959982720,Gaming,5757,2600,40800,2012
Narins Beauty,14000000,2214167846,Howto & Style,431,3400,54800,2014
TV Ana Emilia,14000000,4674164601,People & Blogs,651,6700,107100,2014
ıııııııııııı,14000000,7719743112,Gaming,2210,37600,602300,2013
Luli Pampï¿½,14000000,8623705301,Music,294,50400,806600,2012
Gallina Pintadita,14000000,9660950823,Music,62,17700,282500,2011
ViralHog,14000000,18917687143,People & Blogs,41117,340900,5500000,2014
ETV Jabardasth,14000000,13542939513,People & Blogs,9652,33400,534300,2015
Zee Telugu,14000000,12597067132,Entertainment,3,0,0.03,2007
Crescendo com Luluca,14000000,5094050461,Entertainment,1307,17000,272200,2015
Jazzghost,13900000,5673347763,Gaming,5494,26700,426900,2012
karameeshchannel,13900000,9106781518,Entertainment,2254,21900,350600,2012
Darkar Company Studios,13900000,2244318380,Film & Animation,183,1100,18400,2009
Dental Digest,13900000,7450345720,People & Blogs,324,57900,926200,2020
T-Series Regional,13900000,5217553897,Entertainment,15075,8400,133900,2011
ADEL et SAMI,13900000,5465532801,Entertainment,503,6700,107500,2018
Jamuna TV,13900000,12129583055,News & Politics,6,0,0,2021
Atlantic Records,13900000,12513842343,Music,1660,24300,389100,2006
ıııııııı ıı ıııııııııııı,13900000,8451754769,nan,504,28600,457000,2018
Veritasium,13900000,2165885634,Education,369,11000,176600,2010
Alexa Rivera,13900000,3193226072,Howto & Style,288,35700,571000,2010
Airrack,13800000,2224911030,Entertainment,173,24900,398600,2015
Hacksmith Industries,13800000,1820559912,Science & Technology,887,21000,335800,2006
JD Pantoja,13800000,1493776391,People & Blogs,16,3400,54100,2017
ıııııııı/Atro,13800000,2480957682,Gaming,1952,13800,220500,2017
123 GO! Spanish,13800000,5019136690,People & Blogs,520,6600,106100,2019
Geo News,13800000,5727888539,News & Politics,190093,25000,400200,2007
Kids TV India Hindi Nursery Rhymes,13800000,6646953396,Shows,1505,19700,314600,2014
Think Music India,13800000,11039343563,Music,4978,54300,868400,2009
O Que Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿,13700000,1967930734,Comedy,696,22000,351200,2015
Goldmines Premiere,13700000,1973638757,Entertainment,975,9400,150600,2013
MAIKI021,13700000,1950178163,Entertainment,3298,1900,29800,2008
The Vishal bhatt,13700000,9596430464,Comedy,1040,94800,1500000,2021
NishaMadhulika,13700000,2939201386,Howto & Style,2158,5600,88900,2009
MyMissAnand,13700000,4963275018,People & Blogs,340,7000,111500,2014
FAPTV,13700000,5457203710,Comedy,863,8800,140500,2014
Wesley Safadï¿½,13700000,8134379376,Music,438,16000,256200,2009
infobells,13700000,5178142148,Education,495,6000,95600,2011
Desi Gamers,13700000,2135195239,Gaming,1,0,0.02,2020
Acenix,13600000,2122062016,Gaming,368,11900,189700,2014
Zeinab Harake,13600000,896891351,nan,273,3000,48400,2017
DALLMYD,13600000,1948925559,Sports,412,7700,122700,2011
Lindsey Stirling,13600000,3764608356,Music,199,3800,61100,2007
JOJO TV - Hindi Stories,13600000,5141201173,Education,1097,2700,43100,2016
BBC,13600000,9685060624,Pets & Animals,16047,11100,177700,2005
Saturday Night Live,13600000,14717282742,Entertainment,8335,14200,226500,2013
BUDI01 GAMING,13500000,1181292450,Gaming,319,3400,53700,2019
Typical Gamer,13500000,4301581610,Gaming,4312,8100,130200,2008
Anaysa,13500000,3445794123,Howto & Style,591,7400,118800,2012
JULIA GISELLA,13500000,5380132790,Entertainment,19,0.4,6,2015
Awakening Music,13500000,5545936485,Music,814,8800,141200,2006
Lady Diana,13500000,8265920659,Entertainment,1403,18800,300600,2016
Sanjoy Das Official,13500000,3912334359,Entertainment,1793,44800,716900,2015
Woody & Kleiny,13500000,11717217293,Comedy,975,123900,2000000,2013
Vijay Kumar Viner Vlogs,13500000,7958771872,Entertainment,1357,27500,439300,2019
Conor Maynard,13500000,2750993392,Music,321,2700,43100,2006
Wengie,13500000,1900272833,Howto & Style,462,334,5300,2010
Vlad y Niki Show,13400000,4622628957,nan,477,23100,368900,2018
Codiscos,13400000,11789678655,Music,7356,57200,915600,2007
The World Adventures ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,13400000,2139769210,People & Blogs,1028,261,4200,2016
Vibhu 96,13400000,20563378,nan,256,5100,81100,2022
Blockbuster Movies,13400000,2650061211,Entertainment,0,0,0,2017
ATHLEAN-Xï¿½,13400000,2319515787,Howto & Style,1349,3600,58000,2006
My Mate Nate,13400000,3363634923,Comedy,1195,10400,166700,2014
H2ODelirious,13400000,4356686216,Gaming,3727,4200,67100,2007
GMA Integrated News,13400000,9569814790,News & Politics,296272,28900,461800,2007
Peet Montzingo,13400000,10022557589,People & Blogs,319,99400,1600000,2014
The Q,13400000,4306212515,People & Blogs,96,0,0.01,2006
Trakin Tech,13300000,2262690743,Science & Technology,3640,10900,174700,2011
theRadBrad,13300000,6050102764,Gaming,8195,3900,62800,2006
Matt Steffanina,13300000,3299216601,Entertainment,331,482,7700,2007
Stray Kids,13300000,3364230487,People & Blogs,3,0,0.01,2007
Kurt Hugo Schneider,13300000,3733856870,Entertainment,698,1100,16900,2007
Vogue,13300000,4177184071,Entertainment,3166,11300,180400,2008
ıııııııııııııııııı,13300000,6482687220,People & Blogs,608,22600,361000,2015
Kids Lineï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,13300000,9088562002,People & Blogs,2742,40500,647600,2011
VexTrex,13300000,7923901253,Entertainment,2411,0,0,2014
penguinz0,13300000,7773543609,Gaming,4613,47200,755800,2007
Just For Laughs Gags,13300000,7406628736,Comedy,6916,4400,69900,2007
Kabita's Kitchen,13300000,2831275503,Howto & Style,1489,10800,172500,2014
BanderitaX,13300000,4129249415,Gaming,1640,17700,282800,2013
AzzyLand,13300000,6412313570,Gaming,1749,1300,21500,2015
HUBAï¿½ï¿½,13200000,9884886099,Entertainment,538,79900,1300000,2021
BIBO ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,13200000,1148422000,Entertainment,192,2200,35100,2019
Brawl Stars,13200000,2036408398,Gaming,172,5100,81500,2017
Ei Nerd,13200000,3568392223,Entertainment,0,0,0,2007
Sonotek Bhakti,13200000,3789736218,Entertainment,8019,6300,101300,2010
Vilmei,13200000,4205664894,nan,1324,66100,1100000,2013
MC Divertida,13200000,5224764969,Entertainment,413,16100,258100,2018
The Infographics Show,13200000,5263540904,Education,4279,13000,207300,2011
jbalvinVEVO,13200000,20743586601,Music,237,21600,345100,2010
ııııııTwinsFromRussia,13200000,9378175604,People & Blogs,6888,29800,477600,2011
Technology Gyan,13200000,1138262456,Science & Technology,1022,4600,74100,2015
CookingShooking Hindi,13200000,1758603195,People & Blogs,393,2900,46000,2017
Ryan Trahan,13100000,2182651464,Entertainment,33,0.06,0.99,2022
Alex Gonzaga Official,13100000,1401914513,People & Blogs,287,2700,43400,2017
WiederDude,13100000,2733682792,nan,289,14200,227600,2016
Ian Boggs,13100000,9110348202,Entertainment,1327,82300,1300000,2010
Lokdhun Punjabi,13100000,4712624489,Music,1262,8600,137800,2010
Knowledge Tv ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,13100000,1936582704,People & Blogs,7,0,0.01,2019
Painzeiro,13100000,2555801802,People & Blogs,1077,11000,176000,2015
Peppa Pig em Portuguï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,13100000,4214172991,Film & Animation,1365,6800,109400,2014
ııııııııııııııı Ms Yeah,13100000,4399833602,People & Blogs,435,15200,242600,2017
Hungria Hip Hop,13100000,4608751851,Music,73,12100,192900,2013
RaptorGamer,13100000,2879263916,People & Blogs,1444,15700,251600,2016
RedeTV,13100000,5333569294,Entertainment,36760,4400,70400,2011
twenty one pilots,13100000,5264039679,Music,194,12700,203700,2009
DJ Khaled,13100000,6637820731,Music,12,0.09,2,2006
